zip,lat,lng,city,state_id,state_name,county_name
24316,36.95465,-81.67291,Broadford,VA,Virginia,Tazewell
24333,36.63834,-80.92883,Galax,VA,Virginia,Galax
24401,38.13353,-79.08591,Staunton,VA,Virginia,Staunton
24412,38.05505,-79.82804,Bacova,VA,Virginia,Bath
24413,38.52851,-79.59324000000001,Blue Grass,VA,Virginia,Highland
24415,37.925059999999995,-79.31711,Brownsburg,VA,Virginia,Rockbridge
24416,37.7223,-79.3607,Buena Vista,VA,Virginia,Buena Vista
24422,37.82994,-79.75643000000001,Clifton Forge,VA,Virginia,Alleghany
24501,37.353,-79.15576,Lynchburg,VA,Virginia,Lynchburg
24517,37.149370000000005,-79.22977,Altavista,VA,Virginia,Campbell
24520,36.58395,-79.03673,Alton,VA,Virginia,Halifax
24521,37.63442,-79.09689,Amherst,VA,Virginia,Amherst
24540,36.64309,-79.4234,Danville,VA,Virginia,Danville
24801,37.442609999999995,-81.5776,Welch,WV,West Virginia,McDowell
24846,37.53033,-81.90864,Isaban,WV,West Virginia,Mingo
24901,37.84062,-80.46534,Lewisburg,WV,West Virginia,Greenbrier
24915,38.46521,-79.77636,Arbovale,WV,West Virginia,Pocahontas
24935,37.56075,-80.81113,Forest Hill,WV,West Virginia,Summers
25005,38.58088,-81.26921,Amma,WV,West Virginia,Roane
25007,37.825359999999996,-81.42866,Arnett,WV,West Virginia,Raleigh
25009,38.191990000000004,-81.71202,Ashford,WV,West Virginia,Boone
25015,38.24257,-81.50234,Belle,WV,West Virginia,Kanawha
25019,38.37293,-81.08679000000001,Bickmore,WV,West Virginia,Clay
25022,37.85869,-81.8117,Blair,WV,West Virginia,Logan
25063,38.58235,-80.93417,Duck,WV,West Virginia,Braxton
25106,38.78321,-82.08843,Henderson,WV,West Virginia,Mason
25234,38.8106,-81.12968000000001,Arnoldsburg,WV,West Virginia,Calhoun
25239,38.84049,-81.8431,Cottageville,WV,West Virginia,Jackson
25267,38.84773,-80.94138000000001,Normantown,WV,West Virginia,Gilmer
25401,39.45683,-77.97265,Martinsburg,WV,West Virginia,Berkeley
25411,39.55551,-78.21892,Berkeley Springs,WV,West Virginia,Morgan
25504,38.373290000000004,-82.26409,Barboursville,WV,West Virginia,Cabell
26003,40.07399,-80.64996,Wheeling,WV,West Virginia,Ohio
26030,40.22631,-80.65581,Beech Bottom,WV,West Virginia,Brooke
26031,40.008379999999995,-80.72245,Benwood,WV,West Virginia,Marshall
26101,39.23903,-81.5762,Parkersburg,WV,West Virginia,Wood
26134,39.367979999999996,-81.2876,Belmont,WV,West Virginia,Pleasants
26138,39.028690000000005,-81.20432,Brohard,WV,West Virginia,Wirt
26146,39.45283,-81.04397,Friendly,WV,West Virginia,Tyler
26148,39.06903,-81.18634,Macfarlan,WV,West Virginia,Ritchie
26155,39.63218,-80.76541,New Martinsville,WV,West Virginia,Wetzel
26201,39.00049,-80.20388,Buckhannon,WV,West Virginia,Upshur
26202,38.21812,-80.61906,Fenwick,WV,West Virginia,Nicholas
26203,38.54088,-80.58269,Erbacon,WV,West Virginia,Webster
26224,38.740320000000004,-80.18293,Helvetia,WV,West Virginia,Randolph
26238,39.10308,-80.15939,Volga,WV,West Virginia,Barbour
26260,39.07893,-79.41767,Davis,WV,West Virginia,Tucker
26301,39.28976,-80.37938,Clarksburg,WV,West Virginia,Harrison
26339,39.41965,-80.61062,Center Point,WV,West Virginia,Doddridge
26347,39.25656,-80.12613,Flemington,WV,West Virginia,Taylor
26374,39.45058,-79.87894,Independence,WV,West Virginia,Preston
26501,39.630140000000004,-80.04138,Morgantown,WV,West Virginia,Monongalia
26554,39.4668,-80.11485,Fairmont,WV,West Virginia,Marion
26707,39.22442,-79.39584,Bayard,WV,West Virginia,Grant
26710,39.307190000000006,-78.94228000000001,Burlington,WV,West Virginia,Mineral
26801,39.05028,-78.80364,Baker,WV,West Virginia,Hardy
26802,38.627520000000004,-79.19655,Brandywine,WV,West Virginia,Pendleton
27006,35.94454,-80.43766,Advance,NC,North Carolina,Davie
27009,36.233059999999995,-80.07611999999999,Belews Creek,NC,North Carolina,Forsyth
27011,36.2156,-80.69667,Boonville,NC,North Carolina,Yadkin
27013,35.75594,-80.70351,Cleveland,NC,North Carolina,Rowan
